ContractNumber,LineOfBusiness,SeriesName,PlanName,ActivityStatus,CoverageType,BillingMethod,ModalPremium,InForceFlag,PayUpDate,Duration,Language,CreditCardNo,CardType,BankingTransitNumber,BankingAccountType,BankingAccountNumber,ContractID,Product_ProductID
POL46827581,Universal Life,S200,Standard,Lapsed,Joint,Annual,134.29,Y,2040-06-19,18,Mandarin,4017957635526266,visa,986357718,Checking,8257651419,171,7
POL06968693,Universal Life,S300,Preferred,Paid Up,Individual,Quarterly,97.99,N,2040-06-20,29,Mandarin,3557501417453337,jcb,572689393,Savings,0390408190,172,4
POL86275060,Universal Life,S200,Standard,Paid Up,Joint,Annual,512.62,Y,2040-06-21,12,Spanish,4017954441006716,visa,137884795,Savings,6390395905,173,3
POL97413469,Universal Life,S300,Select,Active,Individual,Monthly,481.54,N,2040-06-22,23,Mandarin,30364371522842,Amex,711761417,Checking,5834370919,174,5
POL60234155,Universal Life,S100,Standard,Lapsed,Individual,Monthly,622.45,Y,2040-06-23,14,Mandarin,3571747260927891,jcb,274325555,Savings,8090887355,175,4
POL70001735,Whole Life,S200,Select,Active,Individual,Monthly,764.0,N,2040-06-24,22,English,374288150254265,Amex,220832587,Savings,0516701547,176,8
POL58012014,Universal Life,S200,Standard,Paid Up,Joint,Annual,361.14,Y,2040-06-25,30,Mandarin,3573722124596693,jcb,381782040,Checking,6947091256,177,11
POL83132368,Universal Life,S100,Standard,Active,Joint,Quarterly,294.39,N,2040-06-26,21,Mandarin,3553164889296124,jcb,824908652,Checking,8425333391,178,4
POL02853819,Term Life,S200,Select,Active,Individual,Monthly,542.63,Y,2040-06-27,10,Spanish,3543958424208194,jcb,197537671,Checking,6483401552,179,8
POL20184411,Term Life,S200,Select,Lapsed,Joint,Quarterly,285.78,N,2040-06-28,18,Mandarin,4175006266116670,Amex,528724014,Checking,0255543579,180,9
POL55920803,Term Life,S200,Select,Paid Up,Joint,Annual,766.85,Y,2040-06-29,13,English,5602240325026527,bankcard,424662946,Savings,6027125796,181,14
POL45793894,Universal Life,S200,Select,Active,Individual,Annual,331.6,N,2040-06-30,23,Spanish,36638558356072,Amex,100896136,Savings,0464927764,182,2
POL67301858,Whole Life,S200,Preferred,Paid Up,Joint,Quarterly,476.17,Y,2040-07-01,29,Mandarin,3559140205097663,jcb,671011981,Checking,1726698271,183,13
POL78196244,Universal Life,S100,Select,Active,Individual,Annual,118.65,N,2040-07-02,14,Spanish,30254657375280,Amex,962927280,Checking,2974923321,184,12
POL56028324,Term Life,S300,Standard,Paid Up,Individual,Monthly,499.02,Y,2040-07-03,24,Spanish,0604654696166184,maestro,681171826,Checking,8735061585,185,13
POL47748691,Whole Life,S100,Standard,Lapsed,Individual,Quarterly,671.7,N,2040-07-04,16,Mandarin,3561922522472117,jcb,239842783,Savings,7894040631,186,4
POL18208135,Whole Life,S300,Preferred,Lapsed,Joint,Quarterly,819.13,Y,2040-07-05,17,Mandarin,3567597333693061,jcb,719828313,Checking,2178764946,187,13
POL73900052,Whole Life,S100,Select,Lapsed,Joint,Annual,506.76,N,2040-07-06,10,English,3577732645762100,jcb,024857212,Savings,5898728828,188,3
POL39487797,Universal Life,S300,Preferred,Paid Up,Joint,Monthly,304.99,Y,2040-07-07,15,Mandarin,3543574088066438,jcb,384003310,Checking,1949133575,189,1
POL70767507,Universal Life,S100,Select,Lapsed,Joint,Annual,286.24,N,2040-07-08,19,Spanish,58935163481428013,maestro,094914092,Checking,6059395690,190,13
POL82277651,Term Life,S300,Select,Active,Joint,Quarterly,99.19,Y,2040-07-09,12,Mandarin,5010126162002398,mastercard,130513133,Checking,2987832828,191,15
POL54631151,Whole Life,S300,Preferred,Active,Joint,Annual,265.02,N,2040-07-10,10,Spanish,201651535742461,Amex,891079831,Checking,4927347547,192,7
POL67024231,Whole Life,S200,Select,Lapsed,Individual,Monthly,633.92,Y,2040-07-11,12,English,5602259224484025,bankcard,225021955,Checking,8547335252,193,14
POL94836474,Term Life,S200,Preferred,Paid Up,Joint,Annual,729.07,N,2040-07-12,17,English,3551080907182686,jcb,416980607,Savings,2245264421,194,4
POL11857871,Universal Life,S200,Select,Lapsed,Individual,Monthly,770.21,Y,2040-07-13,25,Mandarin,3530070528371541,jcb,536769245,Savings,5606978931,195,15
POL38080192,Whole Life,S100,Preferred,Paid Up,Individual,Quarterly,199.78,N,2040-07-14,25,English,3548609131292378,jcb,117682918,Checking,8759234139,196,7
POL97335432,Term Life,S300,Select,Lapsed,Individual,Monthly,97.29,Y,2040-07-15,16,Mandarin,5100140911288670,mastercard,816294544,Checking,9448487268,197,10
POL57544424,Whole Life,S300,Select,Active,Individual,Quarterly,298.33,N,2040-07-16,18,Spanish,3556215359623051,jcb,080544337,Savings,2628384268,198,7
POL45643264,Term Life,S100,Select,Lapsed,Individual,Quarterly,83.45,Y,2040-07-17,10,Spanish,3540822726963380,jcb,744559580,Checking,2332502458,199,9
POL02688278,Universal Life,S300,Standard,Active,Joint,Annual,83.48,N,2040-07-18,24,English,337941122398802,Amex,757802564,Savings,9280225826,200,11
POL08956175,Term Life,S200,Select,Paid Up,Individual,Monthly,885.59,Y,2040-07-19,21,English,3572418078171622,jcb,987149070,Checking,1644056312,201,10
POL18080408,Term Life,S300,Standard,Active,Individual,Monthly,230.9,N,2040-07-20,13,English,3572082444119903,jcb,917467241,Savings,9583547235,202,1
POL92331102,Whole Life,S300,Standard,Active,Individual,Quarterly,264.76,Y,2040-07-21,14,Spanish,3538521978969038,jcb,409521617,Checking,9810993690,203,12
POL51455265,Whole Life,S100,Select,Lapsed,Individual,Annual,355.02,N,2040-07-22,24,Spanish,337941094851721,Amex,481467471,Checking,6134532169,204,4
POL11897373,Universal Life,S200,Standard,Paid Up,Joint,Monthly,661.19,Y,2040-07-23,30,Mandarin,3541223460141318,jcb,518898026,Checking,2989428789,205,13
POL43182257,Universal Life,S300,Select,Lapsed,Joint,Quarterly,103.89,N,2040-07-24,26,English,341541535241773,Amex,190649239,Savings,8165532644,206,6
POL95777806,Whole Life,S200,Preferred,Paid Up,Joint,Quarterly,770.74,Y,2040-07-25,16,Mandarin,63042350438915511,laser,344295933,Savings,4879628841,207,15
POL76436502,Term Life,S100,Standard,Active,Joint,Quarterly,802.1,N,2040-07-26,13,Mandarin,3562851550037956,jcb,472480739,Savings,9218357788,208,1
POL26036515,Universal Life,S200,Standard,Lapsed,Individual,Monthly,841.65,Y,2040-07-27,24,English,490328816527145699,switch,155428741,Savings,4381399744,209,10
POL07790459,Whole Life,S300,Standard,Active,Individual,Monthly,114.8,N,2040-07-28,26,English,201670687381290,Amex,363227531,Checking,7114288612,210,8
POL22348003,Whole Life,S200,Standard,Lapsed,Joint,Monthly,856.73,Y,2040-07-29,27,English,4903078155334390762,switch,294718833,Checking,0351655960,211,8
POL31947138,Whole Life,S300,Select,Lapsed,Individual,Quarterly,248.37,N,2040-07-30,12,Spanish,5007661007152656,mastercard,971861822,Checking,8482428886,212,1
POL33852258,Whole Life,S200,Standard,Lapsed,Individual,Annual,379.27,Y,2040-07-31,18,English,6759487239964559646,switch,192991510,Checking,9938237393,213,6
POL38785145,Whole Life,S200,Standard,Lapsed,Individual,Annual,345.05,N,2040-08-01,30,Mandarin,30283211113994,Amex,306883580,Savings,3103145398,214,15
POL08207313,Term Life,S300,Select,Active,Individual,Quarterly,867.12,Y,2040-08-02,16,English,5048377552615671,mastercard,451008038,Savings,7688792222,215,2
POL02607918,Whole Life,S200,Preferred,Paid Up,Joint,Monthly,628.07,N,2040-08-03,20,Mandarin,5007667547388502,mastercard,297650795,Savings,9960114369,216,3
POL31825198,Universal Life,S300,Standard,Lapsed,Joint,Annual,158.42,Y,2040-08-04,20,Spanish,3550669817549918,jcb,774941125,Checking,2470426444,217,5
POL83644898,Term Life,S300,Standard,Lapsed,Individual,Monthly,295.23,N,2040-08-05,16,Spanish,30211799839383,Amex,736737938,Savings,6579455441,218,10
POL83247917,Universal Life,S100,Standard,Active,Joint,Quarterly,232.63,Y,2040-08-06,30,Spanish,5100145792664147,mastercard,702604803,Checking,6830794377,219,6
POL80083653,Term Life,S300,Preferred,Lapsed,Individual,Annual,87.39,N,2040-08-07,20,Spanish,3583330576003321,jcb,876057648,Savings,8771619916,220,2
POL55862666,Term Life,S200,Preferred,Lapsed,Joint,Quarterly,588.33,Y,2040-08-08,23,Spanish,5602253950514824,bankcard,363726729,Checking,2044993406,221,8
POL98275142,Universal Life,S100,Standard,Lapsed,Individual,Annual,330.35,N,2040-08-09,26,Spanish,5602230157157177,Amex,465551641,Savings,1498644931,222,15
POL51607482,Universal Life,S100,Select,Paid Up,Joint,Annual,832.46,Y,2040-08-10,17,Mandarin,5007666292192150,mastercard,448044812,Savings,7174474087,223,5
POL65136328,Universal Life,S300,Preferred,Lapsed,Joint,Annual,129.2,N,2040-08-11,17,Mandarin,4026987123359887,Amex,971909592,Savings,5102205732,224,15
POL71830107,Term Life,S100,Preferred,Active,Individual,Annual,233.19,Y,2040-08-12,29,Spanish,4913936522418865,Amex,723043844,Savings,4500425201,225,15
POL45825413,Term Life,S300,Preferred,Lapsed,Joint,Monthly,391.5,N,2040-08-13,26,Spanish,3556193147877885,jcb,794606849,Savings,8311525474,226,4
POL85729131,Term Life,S300,Select,Active,Individual,Annual,674.88,Y,2040-08-14,21,Spanish,3564530116987106,jcb,838567561,Checking,6154219618,227,7
POL03489382,Term Life,S300,Preferred,Active,Joint,Annual,159.45,N,2040-08-15,15,Spanish,5108757735937455,mastercard,086841237,Savings,4761607480,228,9
POL50010524,Term Life,S100,Preferred,Active,Joint,Quarterly,338.52,Y,2040-08-16,19,Mandarin,3568967940728528,jcb,303048115,Savings,4616634487,229,8
POL35436558,Universal Life,S200,Select,Lapsed,Joint,Quarterly,95.96,N,2040-08-17,17,Mandarin,3585270137969727,jcb,108884315,Savings,2129702068,230,8
POL01938399,Whole Life,S300,Standard,Paid Up,Individual,Monthly,784.55,Y,2040-08-18,13,Mandarin,4041595660093032,visa,527631296,Checking,5625407782,231,3
POL42431388,Universal Life,S200,Select,Lapsed,Joint,Quarterly,644.13,N,2040-08-19,16,Spanish,3539250612864301,jcb,671092039,Checking,7023200484,232,11
POL78603970,Whole Life,S100,Standard,Lapsed,Individual,Monthly,81.78,Y,2040-08-20,17,Mandarin,5540452879646122,Amex,750588444,Savings,8410834663,233,2
POL96387869,Whole Life,S200,Select,Active,Joint,Annual,570.85,N,2040-08-21,24,English,3576174251488525,jcb,884036769,Savings,3542496169,234,14
POL39342203,Universal Life,S200,Select,Active,Individual,Annual,162.92,Y,2040-08-22,20,Spanish,375424546477224,Amex,908579130,Savings,5055432948,235,12
POL66963269,Universal Life,S200,Select,Paid Up,Individual,Monthly,386.11,N,2040-08-23,16,Mandarin,4017953690591,visa,101055492,Savings,3555712025,236,11
POL90413969,Whole Life,S100,Select,Lapsed,Joint,Quarterly,103.83,Y,2040-08-24,12,Spanish,372301853714147,Amex,102479257,Checking,6057364090,237,4
POL41285254,Whole Life,S200,Preferred,Lapsed,Individual,Annual,482.21,N,2040-08-25,10,Mandarin,3543021948848001,jcb,992340348,Checking,0278789797,238,11
POL37356798,Whole Life,S300,Preferred,Lapsed,Joint,Quarterly,498.91,Y,2040-08-26,13,Spanish,201788759170779,Amex,245626354,Checking,4549740162,239,13
POL71819000,Whole Life,S300,Select,Paid Up,Individual,Quarterly,688.6,N,2040-08-27,28,English,372630581752726,Amex,991706631,Savings,8951720742,240,13
POL58624760,Whole Life,S100,Preferred,Active,Joint,Monthly,61.89,Y,2040-08-28,23,Spanish,5100140874450663,mastercard,233808697,Savings,7309708612,241,6
POL47448866,Term Life,S100,Standard,Lapsed,Joint,Quarterly,90.98,N,2040-08-29,14,Spanish,3589046501197590,jcb,282023963,Savings,8509629103,242,1
POL78722730,Whole Life,S200,Standard,Active,Individual,Annual,274.17,Y,2040-08-30,11,English,5602224538353076,Amex,905763516,Checking,9065381079,243,5
POL24533826,Whole Life,S100,Preferred,Paid Up,Joint,Annual,709.6,N,2040-08-31,12,Spanish,3585945483458728,jcb,385569781,Checking,2916243733,244,14
POL42114992,Whole Life,S100,Select,Lapsed,Individual,Monthly,636.26,Y,2040-09-01,16,English,3561619921968980,jcb,102308027,Savings,8403533694,245,15
POL05064719,Whole Life,S200,Select,Paid Up,Individual,Quarterly,660.09,N,2040-09-02,30,Spanish,5100145586066632,mastercard,349779253,Checking,5794705443,246,14
POL99368999,Term Life,S200,Standard,Active,Individual,Monthly,555.85,Y,2040-09-03,12,Spanish,6767952065910105831,solo,320573779,Checking,9624796088,247,2
POL21721759,Universal Life,S100,Preferred,Lapsed,Individual,Monthly,638.46,N,2040-09-04,25,English,0604765676860122937,maestro,464310134,Checking,1277235112,248,7
POL12094185,Term Life,S100,Standard,Lapsed,Individual,Monthly,498.61,Y,2040-09-05,21,Spanish,3528839381436284,jcb,959336238,Savings,5256377101,249,9
POL09500970,Term Life,S100,Standard,Active,Joint,Monthly,539.29,N,2040-09-06,21,English,3589992769694911,jcb,823950501,Checking,3171065644,250,12
POL18532604,Whole Life,S300,Standard,Active,Individual,Monthly,577.13,Y,2040-09-07,19,English,3563672455801182,jcb,468029483,Savings,9262018189,251,3
POL47181512,Universal Life,S200,Standard,Active,Joint,Quarterly,783.77,N,2040-09-08,17,Mandarin,502057165200329827,maestro,861872374,Savings,5862734287,252,11
POL75854381,Universal Life,S200,Select,Active,Individual,Annual,640.82,Y,2040-09-09,21,Spanish,6759999911597774,switch,872965225,Checking,6239107886,253,6
POL82136660,Universal Life,S300,Select,Lapsed,Joint,Quarterly,340.93,N,2040-09-10,22,Mandarin,3528563588928105,jcb,540706447,Checking,3041571715,254,2
POL45470537,Universal Life,S200,Select,Lapsed,Joint,Annual,56.22,Y,2040-09-11,14,Spanish,3550084816722138,jcb,750381576,Checking,8447084133,255,5
POL81072797,Whole Life,S100,Preferred,Lapsed,Individual,Annual,179.88,N,2040-09-12,13,Mandarin,3535431054848572,jcb,897468226,Savings,2552625621,256,5
POL48723274,Term Life,S100,Standard,Lapsed,Joint,Quarterly,693.56,Y,2040-09-13,26,English,4804401804944,visa,290743941,Savings,1968184731,257,9
POL96312364,Whole Life,S200,Standard,Active,Individual,Annual,281.46,N,2040-09-14,17,Spanish,5443359295426492,mastercard,579891060,Checking,0046912600,258,13
POL12362781,Term Life,S200,Select,Paid Up,Individual,Monthly,427.24,Y,2040-09-15,25,Spanish,3554300717537243,jcb,625047216,Savings,1795454933,259,13
POL15700725,Whole Life,S100,Preferred,Lapsed,Joint,Annual,195.84,N,2040-09-16,18,Mandarin,5020662520241607,maestro,161982695,Checking,0150945627,260,14
POL84581069,Whole Life,S100,Standard,Active,Individual,Annual,715.24,Y,2040-09-17,27,English,4175008764882308,Amex,955324385,Checking,5141751657,261,13
POL10576583,Term Life,S200,Preferred,Paid Up,Individual,Monthly,631.48,N,2040-09-18,29,Spanish,3557820126661273,jcb,842638925,Checking,3327320154,262,9
POL78838263,Term Life,S300,Select,Paid Up,Individual,Quarterly,390.48,Y,2040-09-19,30,Spanish,4936534273591643,switch,948818755,Savings,5405110607,263,13
POL53659127,Whole Life,S200,Select,Lapsed,Individual,Quarterly,621.76,N,2040-09-20,25,Mandarin,4782000786110,visa,282360125,Checking,6990371210,264,9
POL31829439,Term Life,S300,Select,Lapsed,Individual,Monthly,816.49,Y,2040-09-21,22,English,3532543911289247,jcb,692831498,Checking,3064916622,265,12
POL88034488,Term Life,S200,Select,Active,Joint,Monthly,519.65,N,2040-09-22,13,Mandarin,30450173533655,Amex,635799319,Savings,5012463363,266,4
POL53132285,Term Life,S300,Standard,Paid Up,Individual,Annual,835.53,Y,2040-09-23,21,Spanish,4175004885195993,Amex,187016193,Savings,5356187344,267,10
POL17039909,Whole Life,S300,Preferred,Active,Joint,Monthly,479.63,N,2040-09-24,15,Spanish,3531632525902294,jcb,172253672,Savings,2807881695,268,1
POL38491265,Universal Life,S300,Select,Paid Up,Joint,Annual,117.81,Y,2040-09-25,24,Spanish,201839787529716,Amex,938188508,Savings,7210128459,269,4
POL25681898,Term Life,S300,Standard,Active,Joint,Annual,461.85,N,2040-09-26,16,English,67611647649088596,maestro,418061839,Checking,6888111478,270,9
POL85114640,Universal Life,S100,Standard,Lapsed,Individual,Quarterly,375.59,Y,2040-09-27,29,English,374318493255370,Amex,100245834,Savings,3107258840,271,5
POL14640906,Whole Life,S300,Preferred,Paid Up,Joint,Annual,410.72,N,2040-09-28,18,Mandarin,201572792264900,Amex,368527818,Checking,7596522859,272,7
POL42240876,Universal Life,S200,Preferred,Active,Joint,Quarterly,618.52,Y,2040-09-29,24,Mandarin,3541342825173582,jcb,392470310,Checking,0930423440,273,10
POL23995099,Universal Life,S300,Preferred,Active,Joint,Monthly,684.78,N,2040-09-30,23,Mandarin,3532552733108139,jcb,533034517,Savings,2848117914,274,9
POL83816935,Universal Life,S300,Select,Active,Individual,Quarterly,780.05,Y,2040-10-01,10,Spanish,3563307043343435,jcb,987871804,Checking,2319524664,275,2
POL51307187,Term Life,S300,Select,Lapsed,Joint,Monthly,730.56,N,2040-10-02,15,Spanish,6394339220378288,Amex,753746766,Checking,6466849712,276,13
POL97452781,Term Life,S200,Preferred,Active,Individual,Annual,207.44,Y,2040-10-03,29,Mandarin,201701615671849,Amex,667295422,Checking,8427103424,277,13
POL52597138,Universal Life,S300,Preferred,Lapsed,Joint,Annual,120.67,N,2040-10-04,12,Spanish,3580359477628582,jcb,551723649,Checking,6921648970,278,10
POL91029605,Whole Life,S300,Preferred,Lapsed,Individual,Quarterly,499.13,Y,2040-10-05,29,Spanish,5002350334546088,mastercard,515848921,Savings,4765754029,279,11
POL68963326,Whole Life,S300,Select,Paid Up,Individual,Monthly,657.11,N,2040-10-06,16,English,3585649343912805,jcb,979570719,Savings,8306944437,280,3
POL84366090,Whole Life,S100,Preferred,Paid Up,Individual,Annual,71.13,Y,2040-10-07,17,Spanish,6371129143425341,Amex,994548660,Checking,8434709498,281,9
POL76689392,Term Life,S200,Preferred,Active,Individual,Annual,602.44,N,2040-10-08,19,English,5602236054246617,bankcard,768479551,Savings,9028950553,282,8
POL64702595,Term Life,S300,Preferred,Active,Individual,Monthly,548.1,Y,2040-10-09,18,Mandarin,5100132890217572,mastercard,248984987,Savings,5288023568,283,2
POL74064249,Term Life,S200,Preferred,Paid Up,Individual,Annual,290.63,N,2040-10-10,16,English,4911217680226081,switch,160849240,Savings,7263680051,284,10
POL43611043,Universal Life,S300,Standard,Paid Up,Individual,Quarterly,97.63,Y,2040-10-11,29,Mandarin,5237693382799142,mastercard,057575568,Savings,1515351188,285,13
POL04811991,Whole Life,S100,Standard,Paid Up,Individual,Annual,645.32,N,2040-10-12,18,English,3589478396183189,jcb,623126510,Savings,5087263322,286,11
POL07595078,Universal Life,S100,Standard,Lapsed,Joint,Annual,381.33,Y,2040-10-13,17,Spanish,3561668478986283,jcb,487675920,Savings,0779067365,287,7
POL10382960,Universal Life,S200,Preferred,Lapsed,Individual,Quarterly,423.84,N,2040-10-14,20,Mandarin,30535524082137,Amex,245211823,Savings,0666139727,288,7
POL01881851,Whole Life,S100,Preferred,Paid Up,Joint,Quarterly,259.3,Y,2040-10-15,30,Spanish,3542849664928644,jcb,436411357,Savings,7860509711,289,11
POL77323498,Universal Life,S300,Preferred,Paid Up,Joint,Annual,709.72,N,2040-10-16,18,English,374283466657368,Amex,870508436,Checking,7580862096,290,2
POL25765213,Term Life,S300,Preferred,Active,Individual,Monthly,528.11,Y,2040-10-17,21,Mandarin,56105259043920733,Amex,000801176,Checking,9140950538,291,14
POL62196223,Universal Life,S300,Standard,Lapsed,Joint,Monthly,444.04,N,2040-10-18,15,Spanish,6763445592449831797,maestro,145169082,Checking,6262844573,292,14
POL06180427,Whole Life,S300,Preferred,Paid Up,Joint,Monthly,521.88,Y,2040-10-19,29,Mandarin,3586583500360715,jcb,441173179,Savings,2242948366,293,11
POL89851013,Whole Life,S200,Standard,Lapsed,Individual,Monthly,809.21,N,2040-10-20,26,Mandarin,560223295201310059,Amex,816190038,Savings,9122353773,294,10
POL20850219,Term Life,S200,Standard,Active,Joint,Monthly,798.48,Y,2040-10-21,23,Spanish,6709227416240406,laser,292683068,Checking,5678626068,295,14
POL35048505,Universal Life,S200,Preferred,Lapsed,Individual,Annual,851.36,N,2040-10-22,28,Mandarin,3546103656655377,jcb,739773915,Savings,5098422559,296,8
POL01745765,Whole Life,S100,Standard,Paid Up,Individual,Annual,877.88,Y,2040-10-23,27,English,3558816929806239,jcb,498465834,Checking,8941972308,297,5
POL17189921,Universal Life,S300,Select,Active,Joint,Monthly,875.72,N,2040-10-24,28,Mandarin,5393367853803812,mastercard,056306170,Savings,0401150616,298,3
POL98880100,Term Life,S100,Preferred,Lapsed,Individual,Annual,660.02,Y,2040-10-25,10,Mandarin,5412648612713872,mastercard,365758647,Savings,2286085630,299,10
POL45335872,Whole Life,S200,Standard,Active,Individual,Annual,318.89,N,2040-10-26,13,English,337941699540075,Amex,758656366,Savings,8590449734,300,1
POL97774699,Universal Life,S200,Standard,Lapsed,Joint,Annual,534.33,Y,2040-10-27,30,Spanish,67638056517214053,maestro,658859760,Checking,6788862826,301,8
POL15831601,Whole Life,S100,Preferred,Active,Individual,Quarterly,690.8,N,2040-10-28,16,Spanish,3549514574699494,jcb,797440209,Checking,5024744012,302,5
POL15954223,Whole Life,S100,Standard,Lapsed,Individual,Monthly,378.94,Y,2040-10-29,26,English,5100305321124266,mastercard,528534223,Savings,0213798063,303,12
POL83814044,Term Life,S100,Standard,Active,Joint,Annual,56.09,N,2040-10-30,27,English,3559581744771682,jcb,823090132,Checking,9697633403,304,2
POL97349055,Universal Life,S200,Preferred,Lapsed,Individual,Monthly,788.94,Y,2040-10-31,24,Spanish,30410378291129,Amex,109827735,Savings,2352708474,305,6
POL83927666,Term Life,S100,Select,Active,Individual,Annual,713.25,N,2040-11-01,12,Mandarin,346882179242056,Amex,143499102,Savings,1920447463,306,8
POL35813322,Whole Life,S100,Standard,Active,Joint,Monthly,610.68,Y,2040-11-02,19,Spanish,4844770389965823,Amex,122240938,Savings,7963711699,307,1
POL25263806,Whole Life,S200,Preferred,Lapsed,Joint,Monthly,206.8,N,2040-11-03,22,Spanish,3536347992341406,jcb,774069055,Savings,4768733649,308,8
POL12157824,Universal Life,S200,Select,Lapsed,Individual,Quarterly,240.22,Y,2040-11-04,25,Spanish,3557105008110841,jcb,591393852,Savings,4491381287,309,11
POL67208403,Term Life,S200,Select,Active,Joint,Quarterly,237.99,N,2040-11-05,10,Mandarin,3531469154363617,jcb,855066782,Checking,1331728811,310,14
POL94371986,Term Life,S100,Preferred,Lapsed,Individual,Quarterly,469.79,Y,2040-11-06,30,English,3540976707324507,jcb,791686446,Savings,9591439424,311,5
POL45053639,Term Life,S100,Preferred,Lapsed,Joint,Quarterly,639.67,N,2040-11-07,13,Mandarin,3588216054332412,jcb,900589885,Savings,2623694725,312,10
POL36407214,Universal Life,S300,Select,Active,Joint,Monthly,845.22,Y,2040-11-08,10,Mandarin,5100178107881338,mastercard,161352921,Savings,5336452596,313,6
POL12759133,Term Life,S200,Preferred,Paid Up,Joint,Monthly,718.34,N,2040-11-09,26,Spanish,6759209371194470,maestro,801147628,Checking,2532142698,314,12
POL90428295,Term Life,S200,Preferred,Paid Up,Joint,Monthly,863.0,Y,2040-11-10,14,English,201856611790314,Amex,263918210,Checking,8579082512,315,9
POL31696389,Universal Life,S100,Standard,Paid Up,Joint,Monthly,96.49,N,2040-11-11,20,Spanish,3574342198258184,jcb,669350601,Checking,5310334004,316,9
POL82770149,Universal Life,S200,Standard,Paid Up,Individual,Quarterly,111.47,Y,2040-11-12,12,English,5602258966993615,bankcard,516795753,Checking,5266365296,317,9
POL86632370,Whole Life,S200,Preferred,Lapsed,Individual,Annual,839.85,N,2040-11-13,22,Mandarin,490550213950338109,switch,092115962,Checking,8574073534,318,1
POL58959881,Whole Life,S200,Select,Active,Individual,Quarterly,569.56,Y,2040-11-14,12,Mandarin,6771267016310192004,laser,366476080,Checking,2698061249,319,6
POL85855582,Whole Life,S300,Preferred,Paid Up,Individual,Monthly,693.9,N,2040-11-15,27,Mandarin,3548091749184315,jcb,063787411,Savings,8271784703,320,15
POL97529099,Whole Life,S300,Preferred,Active,Joint,Annual,881.37,Y,2040-11-16,29,English,3577600579718085,jcb,654378086,Checking,2310559299,321,9
POL42195755,Term Life,S300,Preferred,Active,Joint,Annual,856.51,N,2040-11-17,19,Mandarin,3568747843260674,jcb,391870020,Checking,0768155689,322,13
POL54862897,Term Life,S300,Standard,Paid Up,Joint,Monthly,410.5,Y,2040-11-18,27,Mandarin,5602243678419356,bankcard,953481402,Checking,9366803449,323,2
POL09424888,Universal Life,S300,Select,Lapsed,Individual,Quarterly,528.38,N,2040-11-19,11,Spanish,5010125736283161,mastercard,401026167,Savings,9057337099,324,4
POL24421073,Universal Life,S300,Standard,Lapsed,Individual,Annual,565.28,Y,2040-11-20,27,Spanish,201411698006836,Amex,379625684,Savings,6246173808,325,15
POL59252180,Whole Life,S300,Preferred,Lapsed,Individual,Quarterly,819.74,N,2040-11-21,21,Mandarin,3585100411052504,jcb,971370678,Checking,9421425235,326,4
POL85856713,Universal Life,S100,Select,Paid Up,Individual,Monthly,316.41,Y,2040-11-22,29,Spanish,5100173587801955,mastercard,563738431,Savings,4358849481,327,11
POL38778932,Term Life,S100,Standard,Paid Up,Individual,Monthly,362.6,N,2040-11-23,25,Spanish,4905902525649435,switch,027145145,Checking,0739676238,328,11
POL24508956,Whole Life,S100,Standard,Lapsed,Individual,Quarterly,690.89,Y,2040-11-24,19,Mandarin,3561668267515798,jcb,834637657,Savings,8739904651,329,12
POL50836028,Whole Life,S300,Standard,Paid Up,Individual,Annual,858.12,N,2040-11-25,21,Spanish,3566413193146193,jcb,300260128,Checking,3142296000,330,3
POL92332680,Universal Life,S200,Select,Active,Individual,Annual,333.77,Y,2040-11-26,10,English,6390408250703386,Amex,853958751,Checking,1482062050,331,12
POL73258863,Whole Life,S200,Standard,Active,Joint,Annual,145.36,N,2040-11-27,13,English,5549734437575401,Amex,748817347,Savings,4947165830,332,4
POL29011818,Whole Life,S200,Preferred,Active,Individual,Quarterly,170.66,Y,2040-11-28,29,English,5602249014149169,bankcard,635282011,Checking,4392693363,333,3
POL87251753,Whole Life,S200,Standard,Lapsed,Individual,Monthly,603.99,N,2040-11-29,19,English,501859806912523148,maestro,613125320,Checking,2209275400,334,13
POL05090135,Term Life,S200,Select,Lapsed,Joint,Monthly,754.01,Y,2040-11-30,22,Spanish,36994057337430,Amex,123802501,Checking,6682565457,335,13
POL41791033,Term Life,S100,Standard,Active,Joint,Annual,164.48,N,2040-12-01,27,Spanish,4667478244157,visa,276164699,Checking,6644900783,336,14
POL88416163,Term Life,S100,Preferred,Lapsed,Individual,Monthly,551.39,Y,2040-12-02,17,English,3580843102971988,jcb,992936072,Checking,8187790756,337,4
POL49303853,Whole Life,S300,Standard,Paid Up,Joint,Annual,843.73,N,2040-12-03,27,English,5450968373588153,Amex,054256450,Savings,9225840292,338,10
POL23330641,Term Life,S200,Select,Active,Individual,Monthly,435.56,Y,2040-12-04,24,English,6304957427106885989,laser,871182113,Checking,7490408583,339,7
POL90239132,Whole Life,S200,Select,Paid Up,Joint,Quarterly,695.87,N,2040-12-05,19,Spanish,4508076438431040,Amex,253943542,Checking,3335506990,340,12
POL63767095,Term Life,S200,Select,Paid Up,Joint,Quarterly,341.36,Y,2040-12-06,27,English,5100149698370627,mastercard,388693625,Checking,9086819080,341,9
POL98807179,Term Life,S100,Standard,Paid Up,Individual,Monthly,586.56,N,2040-12-07,21,Mandarin,4017953542479,visa,446908255,Checking,8389103020,342,4
